N_img,γ1,γ2,E_exact,E_ewald,error_r
5,0.6,0.6,-0.9974928665287521,-0.9974928742840814,7.7748217835935e-9
7,0.6,0.6,-0.9974928665287521,-0.9974928665706515,4.2004684209875334e-11
9,0.6,0.6,-0.9974928665287521,-0.9974928665289875,2.3595886158023856e-13
11,0.6,0.6,-0.9974928665287521,-0.9974928665287619,9.794518782575939e-15
13,0.6,0.6,-0.9974928665287521,-0.9974928665287548,2.6712323952479833e-15
15,0.6,0.6,-0.9974928665287521,-0.9974928665287583,6.232875588911962e-15
17,0.6,0.6,-0.9974928665287521,-0.9974928665287548,2.6712323952479833e-15
19,0.6,0.6,-0.9974928665287521,-0.9974928665287601,8.013697185743951e-15
1,-0.6,-0.6,-1.5368713436877481,-1.536406127414224,0.0003027034601398997
3,-0.6,-0.6,-1.5368713436877481,-1.5368691707264377,1.4138862822626312e-6
5,-0.6,-0.6,-1.5368713436877481,-1.5368713318527942,7.700679666118232e-9
7,-0.6,-0.6,-1.5368713436877481,-1.5368713436231345,4.2042327115367413e-11
9,-0.6,-0.6,-1.5368713436877481,-1.5368713436873946,2.3000950111571e-13
11,-0.6,-0.6,-1.5368713436877481,-1.536871343687745,2.0226966178517213e-15
13,-0.6,-0.6,-1.5368713436877481,-1.5368713436877481,0.0
15,-0.6,-0.6,-1.5368713436877481,-1.53687134368775,1.155826638772412e-15
17,-0.6,-0.6,-1.5368713436877481,-1.5368713436877486,2.88956659693103e-16
19,-0.6,-0.6,-1.5368713436877481,-1.5368713436877495,8.66869979079309e-16
1,-0.6,0.6,-1.2698138075910825,-1.2697703558723665,3.4218968526129004e-5
3,-0.6,0.6,-1.2698138075910825,-1.269814142928337,2.640837990612156e-7
5,-0.6,0.6,-1.2698138075910825,-1.2698138059666957,1.2792323075584326e-9
7,-0.6,0.6,-1.2698138075910825,-1.2698138075997196,6.8018562963644085e-12
9,-0.6,0.6,-1.2698138075910825,-1.2698138075910332,3.881978759300989e-14
11,-0.6,0.6,-1.2698138075910825,-1.2698138075910803,1.7486390807662112e-15
13,-0.6,0.6,-1.2698138075910825,-1.2698138075910785,3.14755034537918e-15
15,-0.6,0.6,-1.2698138075910825,-1.2698138075910803,1.7486390807662112e-15
17,-0.6,0.6,-1.2698138075910825,-1.2698138075910794,2.4480947130726955e-15
19,-0.6,0.6,-1.2698138075910825,-1.2698138075910799,2.0983668969194536e-15
1,0.9,0.9,-0.8620224173142184,-0.8631434057230942,0.0013004167714901226
3,0.9,0.9,-0.8620224173142184,-0.8620347397442987,1.4294790753477662e-5
5,0.9,0.9,-0.8620224173142184,-0.8620225624262079,1.6833899747970416e-7
7,0.9,0.9,-0.8620224173142184,-0.8620224190824732,2.051286417080722e-9
9,0.9,0.9,-0.8620224173142184,-0.8620224173359676,2.5230514445518097e-11
11,0.9,0.9,-0.8620224173142184,-0.8620224173144413,2.586159928871891e-13
13,0.9,0.9,-0.8620224173142184,-0.8620224173141864,3.7092333641190466e-14
15,0.9,0.9,-0.8620224173142184,-0.8620224173142246,7.212398208009258e-15
17,0.9,0.9,-0.8620224173142184,-0.862022417314233,1.7000652918878965e-14
19,0.9,0.9,-0.8620224173142184,-0.8620224173142046,1.5970310317734784e-14
1,-0.9,-0.9,-1.6725463781065573,-1.671058671752449,0.0008894858603517601
3,-0.9,-0.9,-1.6725463781065573,-1.6725306218911864,9.420495345966345e-6
5,-0.9,-0.9,-1.6725463781065573,-1.67254618619743,1.147406910614046e-7
7,-0.9,-0.9,-1.6725463781065573,-1.6725463757520007,1.4077675695895864e-9
9,-0.9,-0.9,-1.6725463781065573,-1.672546378077643,1.7287535187431205e-11
11,-0.9,-0.9,-1.6725463781065573,-1.6725463781062015,2.1267897963618542e-13
13,-0.9,-0.9,-1.6725463781065573,-1.6725463781065544,1.725859385312366e-15
15,-0.9,-0.9,-1.6725463781065573,-1.6725463781065575,1.327584142547974e-16
17,-0.9,-0.9,-1.6725463781065573,-1.6725463781065542,1.8586177995671633e-15
19,-0.9,-0.9,-1.6725463781065573,-1.6725463781065557,9.293088997835816e-16
1,-0.9,0.9,-1.271340250225593,-1.2711050144396645,0.00018502976357965805
3,-0.9,0.9,-1.271340250225593,-1.2713436167935472,2.6480463853724018e-6
5,-0.9,0.9,-1.271340250225593,-1.2713402112440528,3.066176832760378e-8
7,-0.9,0.9,-1.271340250225593,-1.271340250698537,3.7200419492433193e-10
9,-0.9,0.9,-1.271340250225593,-1.2713402502197915,4.5633585788318714e-12
11,-0.9,0.9,-1.271340250225593,-1.271340250225668,5.90330373409818e-14
13,-0.9,0.9,-1.271340250225593,-1.2713402502255864,5.2396186989037105e-15
15,-0.9,0.9,-1.271340250225593,-1.271340250225593,0.0
17,-0.9,0.9,-1.271340250225593,-1.2713402502255895,2.7944633060819786e-15
19,-0.9,0.9,-1.271340250225593,-1.2713402502255895,2.7944633060819786e-15
