N_img,N_slab,γ1,γ2,E_exact,E_ewald,error_r
10,7,-0.6,0.6,-1.2698138075910808,-1.2698138593754993,4.078111154680285e-8
12,7,-0.6,0.6,-1.2698138075910808,-1.2698138593747783,4.0780543763693326e-8
14,7,-0.6,0.6,-1.2698138075910808,-1.2698138593918131,4.079395897299315e-8
16,7,-0.6,0.6,-1.2698138075910808,-1.269813858988624,4.0476440738979806e-8
2,3,0.95,0.95,-0.8393698842280726,-0.8409037141746721,0.0018273588026215062
4,3,0.95,0.95,-0.8393698842280726,-0.8393861266236778,1.9350700937057978e-5
6,3,0.95,0.95,-0.8393698842280726,-0.8392286261798628,0.0001682905842394561
8,3,0.95,0.95,-0.8393698842280726,-0.8210337025934672,0.02184517455194174
10,3,0.95,0.95,-0.8393698842280726,-0.08667189609199154,0.8967417133726456
12,3,0.95,0.95,-0.8393698842280726,-0.07603721195697245,0.9094115557566136
14,3,0.95,0.95,-0.8393698842280726,-0.07592477891237422,0.9095455050996992
16,3,0.95,0.95,-0.8393698842280726,-0.07520214934138045,0.9104064242064865
2,5,0.95,0.95,-0.8393698842280726,-0.8409037498351865,0.001827401287484246
4,5,0.95,0.95,-0.8393698842280726,-0.8393883243482122,2.1969003756415923e-5
6,5,0.95,0.95,-0.8393698842280726,-0.8393701792911732,3.5152929139301396e-7
8,5,0.95,0.95,-0.8393698842280726,-0.8393699105544807,3.136448979080273e-8
10,5,0.95,0.95,-0.8393698842280726,-0.8393683178972181,1.8660794053908855e-6
12,5,0.95,0.95,-0.8393698842280726,-0.8392658787056658,0.0001239090469661011
14,5,0.95,0.95,-0.8393698842280726,-0.8258911165162883,0.016058197899463608
16,5,0.95,0.95,-0.8393698842280726,-0.286067712214327,0.65918754343038
2,7,0.95,0.95,-0.8393698842280726,-0.8409037501248185,0.001827401632543202
4,7,0.95,0.95,-0.8393698842280726,-0.8393883245437911,2.1969236763210775e-5
6,7,0.95,0.95,-0.8393698842280726,-0.8393701802615047,3.5268531509610803e-7
8,7,0.95,0.95,-0.8393698842280726,-0.8393699372606315,6.318139344330978e-8
10,7,0.95,0.95,-0.8393698842280726,-0.8393699335937589,5.881279188605421e-8
12,7,0.95,0.95,-0.8393698842280726,-0.8393699332806243,5.843973271962341e-8
14,7,0.95,0.95,-0.8393698842280726,-0.8393699140875986,3.557374005786252e-8
16,7,0.95,0.95,-0.8393698842280726,-0.8393687459927005,1.3560593410062463e-6
2,3,-0.95,-0.95,-1.6952412331154787,-1.6937032485752677,0.0009072363921826978
4,3,-0.95,-0.95,-1.6952412331154787,-1.695225596572222,9.22378653326578e-6
6,3,-0.95,-0.95,-1.6952412331154787,-1.695411342028987,0.0001003449598707513
8,3,-0.95,-0.95,-1.6952412331154787,-1.7033551140633707,0.004786269227878846
10,3,-0.95,-0.95,-1.6952412331154787,-2.428465256289324,0.4325189883603419
12,3,-0.95,-0.95,-1.6952412331154787,-2.4391207031042503,0.43880449310549485
14,3,-0.95,-0.95,-1.6952412331154787,-2.4392359864033835,0.43887249717292853
16,3,-0.95,-0.95,-1.6952412331154787,-2.4401560166714287,0.4394152106523278
2,5,-0.95,-0.95,-1.6952412331154787,-1.6937032022259764,0.000907263733006168
4,5,-0.95,-0.95,-1.6952412331154787,-1.69522283227787,1.08544065878562e-5
6,5,-0.95,-0.95,-1.6952412331154787,-1.695241041227405,1.1319219347929772e-7
8,5,-0.95,-0.95,-1.6952412331154787,-1.6952413177624381,4.9932102752248074e-8
10,5,-0.95,-0.95,-1.6952412331154787,-1.6952433185817346,1.230188491861509e-6
12,5,-0.95,-0.95,-1.6952412331154787,-1.6953664741967442,7.387802916720152e-5
